Hostel_ID,Month,Season,Hostel_Rooms,Occupied_Rooms,Occupancy_Percentage,Students,Building_Age_Years,Floors,Hostel_Area_sqft,Mess_Area_sqft,Daily_Mess_Attendance,Breakfast_Meals,Lunch_Meals,Dinner_Meals,Kitchen_Equipment,AC_Units,Fans,Lights,Computers,WiFi_Access_Points,Washing_Machines,Water_Pumps,Solar_Panels,Solar_Generation_kWh,Outdoor_Temperature_C,Humidity_Percentage,Water_Consumption_Liters,Generator_Hours,Power_Outage_Hours,Peak_Load_kW,Electricity_Tariff_RsPerkWh,Urban,Monthly_Electricity_kWh,Monthly_Electricity_Bill_Rs
H00035,Jan,Winter,149,89,59.73,178,8,4,29800,4473,159,159,155,152,36,8,238,596,59,18,28,4,0,0,21.0,45.2,38270,0.1,1.1,36.25,9.78,0,9633,94210.74
H00036,Jul,Monsoon,352,254,72.16,254,12,2,83072,13866,213,213,210,210,26,35,294,1760,35,17,26,7,0,0,25.0,74.2,47498,11.0,11.2,86.07,9.55,0,19106,182462.3
H00037,Apr,Summer,196,167,85.2,501,3,5,46452,7632,443,443,433,442,18,21,548,980,16,16,25,8,0,0,33.3,58.8,81162,5.5,5.8,66.28,8.51,1,16019,136321.69
H00038,Dec,Winter,102,88,86.27,88,27,6,22338,4076,79,79,74,77,29,0,111,306,70,19,25,7,1,2443,26.5,51.2,19184,0.3,2.0,20.59,7.82,1,5356,41883.92
H00039,Feb,Winter,381,343,90.03,1029,11,4,93345,14499,884,884,849,845,21,29,1062,2286,79,4,29,4,1,2690,20.2,50.0,188307,10.2,11.0,98.97,8.43,1,25262,212958.66
H00040,Aug,Monsoon,273,214,78.39,856,18,5,49413,9262,732,732,690,701,9,7,935,1092,18,20,21,4,0,0,29.1,80.5,186608,6.9,7.2,61.83,10.11,1,17371,175620.81
H00041,Jun,Monsoon,262,209,79.77,627,29,8,63404,10711,607,607,591,586,32,22,660,786,76,6,15,8,0,0,30.4,87.0,93423,7.1,9.7,76.09,8.31,1,18529,153975.99
H00042,Apr,Summer,399,359,89.97,718,20,4,75810,13383,659,659,629,651,16,9,792,1995,63,6,17,3,1,418,41.1,38.6,147908,6.6,7.3,52.75,7.54,0,18992,143199.68
H00043,Nov,Autumn,276,271,98.19,271,2,4,65136,14152,248,248,242,239,9,27,333,1104,79,4,5,7,0,0,26.1,68.2,46070,8.3,9.1,69.52,8.09,1,14780,119570.2
H00044,May,Summer,60,40,66.67,80,15,7,12480,1963,74,74,73,72,9,8,153,240,42,11,18,6,0,0,34.4,49.9,10080,1.4,2.4,25.27,8.91,0,6204,55277.64
H00045,Aug,Monsoon,82,76,92.68,152,7,6,17466,3744,135,135,132,131,38,1,225,492,34,6,11,2,1,2332,24.9,92.6,21280,8.8,9.5,17.18,7.03,1,6032,42404.96
H00046,Nov,Autumn,244,183,75.0,549,17,8,49532,10657,461,461,454,448,14,20,588,976,53,16,15,7,0,0,31.0,59.2,103761,5.6,7.4,62.24,7.82,0,16384,128122.88
H00047,Mar,Summer,330,286,86.67,572,18,8,75240,15020,504,504,475,501,19,37,633,1320,72,11,24,7,1,2127,38.6,48.9,79508,3.1,3.9,99.13,7.25,0,20873,151329.25
H00048,Aug,Monsoon,131,78,59.54,78,29,6,25414,4565,71,71,69,69,35,2,141,786,30,14,4,4,0,0,27.7,94.3,15444,7.1,8.9,12.21,10.27,1,7200,73944.0
H00049,Aug,Monsoon,64,36,56.25,144,9,7,14336,2880,135,135,128,134,39,9,192,192,77,15,4,5,1,2020,29.5,75.1,29664,2.7,4.4,38.03,7.61,0,6967,53018.87
H00050,Aug,Monsoon,300,213,71.0,213,16,3,67800,14232,181,181,174,174,14,40,276,1800,70,11,14,1,0,0,24.4,81.7,33654,2.7,5.6,83.25,6.74,1,17385,117174.9
H00051,Nov,Autumn,215,133,61.86,399,13,4,42570,6462,355,355,343,349,40,25,478,1075,39,19,27,1,1,1062,23.8,62.8,55860,5.4,5.6,64.65,8.73,0,16125,140771.25
H00052,Feb,Winter,134,86,64.18,86,30,8,31892,5852,83,83,80,80,14,16,121,804,30,8,29,3,0,0,22.1,40.7,11438,4.6,7.4,44.73,8.82,0,9213,81258.66
H00053,Oct,Autumn,326,220,67.48,660,33,3,60310,11070,620,620,610,614,17,36,685,1956,34,14,30,5,1,1109,25.8,51.9,99660,0.0,0.4,105.99,7.17,1,21629,155079.93
H00054,Oct,Autumn,136,107,78.68,321,7,2,30872,4674,273,273,257,270,27,7,351,408,40,16,4,6,0,0,24.5,54.5,49434,5.9,6.9,30.64,9.09,0,9667,87873.03
H00055,Nov,Autumn,320,203,63.44,609,3,3,77440,13031,510,510,497,507,13,0,685,1920,54,14,17,4,1,1321,22.3,67.1,94395,4.6,6.5,37.79,7.87,1,14668,115437.16
H00056,Nov,Autumn,187,173,92.51,692,35,8,34221,6378,660,660,627,648,12,17,752,935,19,7,8,7,1,2034,27.9,64.8,96880,2.2,4.6,64.44,8.56,0,14845,127073.2
H00057,May,Summer,353,225,63.74,675,9,7,74836,14606,557,557,553,551,21,36,715,1412,23,16,23,5,0,0,35.9,53.9,126900,0.0,1.9,91.01,10.26,1,22196,227730.96
H00058,Dec,Winter,361,320,88.64,320,4,5,86279,14429,271,271,269,257,18,12,341,1444,9,8,11,1,1,2095,21.7,41.6,56960,0.0,0.0,39.51,9.19,1,11918,109526.42
H00059,Sep,Monsoon,389,325,83.55,1300,23,6,86358,16139,1163,1163,1131,1146,35,43,1359,1167,74,3,29,4,1,1306,32.3,84.0,280800,9.6,9.9,133.12,6.67,1,30121,200907.07
H00060,Aug,Monsoon,345,253,73.33,759,24,4,82110,14528,728,728,711,695,39,29,798,1035,39,18,12,4,0,0,26.1,80.6,94116,0.0,0.9,91.98,8.7,1,20939,182169.3
H00061,Aug,Monsoon,93,61,65.59,122,25,2,19437,3890,115,115,113,110,32,5,194,558,71,9,25,7,0,0,25.8,85.2,16958,6.7,8.4,35.34,7.92,0,8642,68444.64
H00062,Sep,Monsoon,339,235,69.32,470,4,5,77970,11681,400,400,378,389,23,14,540,1017,34,20,5,1,1,2267,32.7,91.2,95880,1.2,3.6,56.64,7.41,0,13749,101880.09
H00063,Mar,Summer,147,130,88.44,390,25,8,33075,6663,356,356,341,339,15,8,438,735,65,14,20,5,1,2015,31.4,38.3,62010,8.2,10.9,36.25,6.95,0,10843,75358.85
H00064,Oct,Autumn,158,91,57.59,273,19,5,32232,5598,234,234,224,233,23,1,348,948,54,18,24,5,1,1626,29.9,64.5,40404,0.0,2.1,27.03,6.94,0,9090,63084.6
H00065,Jul,Monsoon,66,45,68.18,135,27,8,13596,2915,121,121,116,115,18,2,182,264,16,18,27,1,1,355,24.5,91.5,24435,3.5,3.7,15.42,9.96,1,5339,53176.44
H00066,Dec,Winter,233,228,97.85,684,3,2,43804,8432,578,578,551,570,16,29,712,1398,67,12,9,6,1,807,27.4,62.3,84132,4.0,6.9,91.47,8.33,0,19287,160660.71
H00067,Nov,Autumn,239,132,55.23,528,6,4,58555,11980,434,434,432,432,16,10,576,956,31,16,6,4,0,0,27.8,56.7,115632,4.2,5.7,38.02,6.84,0,13103,89624.52
H00068,Feb,Winter,214,159,74.3,477,18,3,46010,7859,425,425,412,412,8,1,507,1070,36,12,3,7,0,0,25.1,52.1,74412,2.5,3.9,30.25,8.13,0,10517,85503.21
H00069,Oct,Autumn,259,245,94.59,735,17,8,47397,9969,715,715,685,704,9,16,777,1554,9,15,13,6,0,0,24.7,64.0,118335,9.3,10.1,64.33,6.88,1,17920,123289.6
H00070,May,Summer,173,126,72.83,252,29,3,43250,8316,228,228,224,225,37,18,313,1038,21,5,28,6,1,2620,37.7,43.7,49140,2.7,5.4,55.16,9.73,1,12131,118034.63
H00071,Sep,Monsoon,92,85,92.39,170,4,6,17296,3081,157,157,152,156,33,6,241,276,78,18,12,1,1,2282,26.2,80.7,21080,3.1,3.7,21.36,7.39,0,6777,50082.03
H00072,May,Summer,356,259,72.75,777,29,5,73692,14938,727,727,726,698,13,48,808,1780,71,11,26,5,1,2857,36.9,59.9,125097,4.6,5.7,111.46,9.45,1,24656,232999.2
H00073,Oct,Autumn,334,303,90.72,606,12,3,69472,12514,571,571,557,560,24,24,663,1336,40,7,12,6,1,2144,22.1,67.6,97566,8.4,9.8,79.44,8.78,1,18128,159163.84
H00074,Sep,Monsoon,398,280,70.35,840,29,3,82386,15731,810,810,782,797,16,1,913,1194,66,13,30,1,1,3406,26.9,71.8,124320,5.8,6.0,43.25,7.79,1,16068,125169.72
H00075,Aug,Monsoon,167,129,77.25,387,20,2,37575,7451,355,355,352,343,30,12,428,668,33,15,13,8,0,0,25.6,79.2,65403,1.4,3.3,54.35,9.99,1,12145,121328.55
H00076,Jun,Monsoon,296,208,70.27,624,17,8,58904,9701,568,568,556,551,8,25,646,1184,21,13,21,6,1,3003,32.3,86.8,98592,2.5,2.6,75.37,8.47,0,17110,144921.7
H00077,Aug,Monsoon,321,305,95.02,610,2,2,62916,13744,582,582,572,578,35,33,659,963,41,3,26,8,1,745,24.2,86.5,84790,7.6,7.8,97.66,9.35,0,20949,195873.15
H00078,Mar,Summer,345,218,63.19,654,5,3,63825,12560,595,595,564,583,8,47,716,1035,51,5,9,5,0,0,32.9,46.9,117066,2.6,2.9,123.79,7.46,0,22735,169603.1
H00079,Oct,Autumn,86,64,74.42,128,35,5,19952,4031,124,124,120,119,24,1,174,516,37,7,24,3,0,0,26.1,62.6,24960,11.2,11.6,22.85,9.74,1,6923,67430.02
H00080,Aug,Monsoon,374,286,76.47,572,24,6,92752,19969,518,518,491,516,30,43,610,1870,68,9,16,1,0,0,28.0,78.4,97240,7.8,9.4,104.2,8.44,0,23290,196567.6
H00081,Dec,Winter,218,188,86.24,564,17,8,42946,6787,473,473,446,452,24,0,605,1308,79,16,7,4,0,0,26.0,49.5,86292,0.0,0.9,26.7,9.12,0,12543,114392.16
H00082,Nov,Autumn,104,64,61.54,192,7,4,24856,4730,173,173,162,170,33,1,260,520,27,20,28,5,0,0,24.8,48.9,38592,1.0,3.1,31.98,7.22,0,7731,55817.82
H00083,Dec,Winter,121,100,82.64,300,32,3,24321,5032,290,290,288,289,36,12,365,726,75,9,11,8,0,0,22.8,54.7,43800,6.5,7.4,36.62,10.14,1,11376,115352.64
H00084,Jun,Monsoon,180,126,70.0,378,33,8,39960,6919,328,328,327,325,9,25,437,720,24,17,23,6,1,1084,32.6,72.9,47628,1.7,2.5,69.11,9.11,1,13763,125380.93
H00085,Jul,Monsoon,270,193,71.48,579,27,2,55620,11529,509,509,496,495,38,0,638,1350,61,3,7,7,0,0,24.4,79.2,119274,4.9,4.9,35.08,6.66,0,14403,95923.98
H00086,Mar,Summer,78,46,58.97,92,22,5,17628,2556,76,76,73,73,36,11,133,234,63,8,8,5,1,975,39.9,36.0,12144,3.6,6.0,38.1,9.15,0,7506,68679.9
H00087,Dec,Winter,119,89,74.79,356,28,8,26656,5335,297,297,281,286,12,5,410,595,22,20,24,8,0,0,23.6,45.1,60164,10.5,11.2,27.63,9.0,1,9770,87930.0
H00088,Sep,Monsoon,124,92,74.19,368,9,2,23808,5085,321,321,311,313,11,5,391,744,9,15,6,6,1,554,31.4,76.4,44160,2.9,3.8,43.73,9.16,1,8888,81414.08
H00089,Nov,Autumn,171,139,81.29,417,22,5,42066,6291,364,364,342,349,18,18,451,684,12,5,5,1,0,0,27.0,47.9,86319,0.0,0.2,54.91,7.52,1,12011,90322.72
H00090,Feb,Winter,274,178,64.96,712,30,2,61650,12675,693,693,652,677,10,23,762,822,46,14,12,6,1,1735,25.2,55.6,131008,4.0,6.2,81.2,9.49,1,16869,160086.81
H00091,Sep,Monsoon,235,197,83.83,197,17,7,43945,9036,170,170,168,166,18,8,226,940,75,14,18,3,1,1109,27.6,85.8,38809,0.0,1.0,34.8,6.56,0,9768,64078.08
H00092,Aug,Monsoon,316,296,93.67,1184,3,7,65096,10827,1076,1076,1050,1033,28,32,1251,1896,24,8,5,5,0,0,32.5,70.7,182336,4.0,5.8,95.43,9.75,1,26007,253568.25
H00093,Dec,Winter,233,182,78.11,728,30,5,42406,6236,631,631,625,627,27,2,766,699,6,5,10,5,0,0,23.9,53.7,123760,11.1,11.9,33.83,6.88,0,13801,94950.88
H00094,Mar,Summer,119,72,60.5,144,14,7,22491,4929,130,130,125,126,16,4,167,476,76,15,29,2,0,0,33.2,51.4,28080,0.8,2.8,32.95,10.03,1,7566,75886.98
H00095,Mar,Summer,217,171,78.8,342,22,4,40362,7513,289,289,277,278,39,17,371,1302,47,4,19,3,0,0,31.2,50.8,59166,2.7,4.5,45.26,7.06,1,14490,102299.4
H00096,Dec,Winter,83,62,74.7,248,3,5,19671,3217,220,220,207,212,12,2,319,332,56,19,22,6,1,3314,25.7,42.7,39432,8.2,10.2,28.87,10.23,0,6239,63824.97
H00097,Mar,Summer,149,98,65.77,196,20,6,35760,5695,177,177,169,168,15,2,225,745,37,10,9,6,0,0,39.3,55.0,31360,4.0,4.1,19.14,9.13,1,7630,69661.9
H00098,Aug,Monsoon,78,49,62.82,98,27,4,18954,3585,82,82,77,80,19,11,157,468,52,7,7,3,0,0,31.6,83.8,21168,10.1,11.2,39.12,9.26,1,7525,69681.5
H00099,Jun,Monsoon,186,132,70.97,396,15,7,40920,6426,376,376,371,359,26,5,423,558,40,11,9,4,1,1570,29.5,87.5,55836,5.3,8.1,27.76,9.68,0,9617,93092.56
H00100,Aug,Monsoon,170,142,83.53,284,10,3,35700,7327,272,272,268,266,26,5,315,850,27,12,25,7,0,0,27.0,70.3,47428,9.1,11.2,25.62,10.46,0,10269,107413.74
H00101,Jun,Monsoon,188,106,56.38,318,20,3,34780,7095,301,301,292,292,23,19,381,564,45,20,20,1,1,1904,31.0,87.6,43248,2.8,3.1,53.89,8.61,1,11668,100461.48
H00102,Dec,Winter,77,49,63.64,98,35,4,14630,2263,89,89,84,87,19,0,161,385,29,6,14,2,1,1262,26.9,62.3,17346,1.6,2.7,19.39,6.91,1,5000,34550.0
H00103,Oct,Autumn,149,129,86.58,258,29,5,31737,6307,226,226,222,214,14,0,317,894,77,9,30,6,1,660,27.3,49.1,42570,9.2,10.8,28.52,9.05,0,9166,82952.3
H00104,Jan,Winter,368,281,76.36,843,18,2,90160,15169,773,773,738,757,10,51,881,1472,60,7,15,4,0,0,18.0,52.7,155955,10.0,10.4,121.33,9.75,1,26027,253763.25
H00105,Nov,Autumn,319,260,81.5,520,31,8,66990,12747,437,437,427,436,20,31,595,957,24,19,24,8,1,533,25.0,59.1,102440,0.0,2.0,91.57,9.04,0,18852,170422.08
H00106,Mar,Summer,97,68,70.1,272,32,2,17557,3754,232,232,224,225,23,4,316,485,33,7,14,3,0,0,30.2,55.6,48688,1.1,1.2,34.55,7.72,0,8067,62277.24
H00107,Jun,Monsoon,333,309,92.79,309,33,2,66267,13785,291,291,276,282,13,33,384,1332,40,13,5,7,0,0,27.7,82.9,40788,1.2,4.0,76.71,8.52,1,17033,145121.16
H00108,Aug,Monsoon,206,159,77.18,636,14,3,45732,8300,529,529,501,526,39,24,716,1030,68,18,30,5,1,1372,32.7,72.0,112572,7.7,8.0,78.33,9.62,1,18546,178412.52
H00109,Sep,Monsoon,284,275,96.83,550,28,6,65036,13156,487,487,459,464,14,19,620,852,72,19,12,2,0,0,32.9,73.4,76450,0.0,1.3,54.27,9.18,1,15362,141023.16
H00110,Dec,Winter,80,78,97.5,234,8,3,15680,3358,205,205,203,203,29,6,313,400,59,3,10,1,0,0,26.2,41.1,29016,0.0,0.8,41.13,8.94,1,8181,73138.14
H00111,Aug,Monsoon,251,169,67.33,338,19,4,56977,11548,327,327,307,310,30,23,378,1255,11,16,26,7,1,1662,33.0,71.9,48672,2.5,5.0,55.92,8.49,1,14987,127239.63
H00112,Nov,Autumn,344,303,88.08,303,20,3,76368,13728,261,261,249,254,30,2,359,1032,73,3,18,3,1,2493,27.8,47.9,37572,0.0,0.1,31.94,9.27,0,10910,101135.7
H00113,Apr,Summer,246,242,98.37,726,9,2,60516,10846,609,609,573,597,13,26,761,1230,71,16,21,2,1,482,31.6,35.7,132858,5.3,7.8,84.49,10.49,1,19297,202425.53
H00114,Apr,Summer,200,193,96.5,386,31,3,36600,5451,325,325,308,322,34,9,447,800,16,17,20,6,1,1611,32.5,38.7,69866,10.1,11.8,35.83,9.32,1,11910,111001.2
H00115,Jan,Winter,256,211,82.42,422,26,6,50688,10336,393,393,382,377,30,6,475,1024,5,5,10,5,1,1447,22.8,49.4,76804,11.0,11.2,47.62,9.18,0,12492,114676.56
H00116,Jul,Monsoon,81,51,62.96,153,22,6,17496,2771,142,142,135,137,10,11,216,243,41,8,7,5,0,0,32.5,87.3,26163,8.9,11.1,33.3,6.79,1,7550,51264.5
H00117,Oct,Autumn,167,167,100.0,334,21,5,40247,7052,308,308,291,298,23,10,401,1002,65,17,28,3,1,405,25.5,59.9,45424,0.0,1.3,44.36,7.82,0,11675,91298.5
H00118,Feb,Winter,304,222,73.03,222,2,7,66576,14065,182,182,175,180,32,17,263,1216,7,11,15,5,0,0,27.7,61.3,47952,8.6,9.2,58.01,8.45,0,13709,115841.05
H00119,Nov,Autumn,140,121,86.43,484,9,7,33740,7146,435,435,430,433,19,0,544,560,38,17,18,5,1,3179,23.8,48.7,86152,3.8,6.7,24.46,9.23,1,8627,79627.21
H00120,Dec,Winter,221,206,93.21,824,19,2,47736,8886,787,787,773,752,26,1,895,1326,17,6,18,1,1,3324,26.0,55.0,101352,9.9,11.7,37.06,9.81,0,13922,136574.82
H00121,Feb,Winter,213,153,71.83,459,28,8,51759,9319,441,441,433,426,39,18,483,1065,56,9,23,1,1,3401,26.7,63.1,79866,0.0,0.5,51.93,7.51,1,13391,100566.41
H00122,Sep,Monsoon,307,261,85.02,522,19,7,69996,12169,503,503,497,488,25,2,572,921,41,17,4,5,1,3138,27.8,82.0,86130,3.5,6.1,32.93,9.32,1,12016,111989.12
H00123,Mar,Summer,174,144,82.76,288,35,6,31668,5560,242,242,237,233,21,0,333,870,65,16,14,4,0,0,39.4,39.4,41760,5.5,6.3,26.15,10.08,1,9368,94429.44
H00124,Mar,Summer,396,246,62.12,246,9,5,82368,16536,204,204,192,198,18,41,289,1188,32,18,28,6,0,0,33.7,55.3,48708,0.9,2.5,96.52,7.93,0,19204,152287.72
H00125,Sep,Monsoon,69,66,95.65,264,12,5,13179,2458,224,224,213,220,36,5,321,345,10,9,7,4,0,0,31.0,81.8,55176,0.0,0.8,30.79,8.13,1,7634,62064.42
H00126,Nov,Autumn,199,162,81.41,486,29,6,41193,6393,436,436,413,422,15,1,550,1194,67,6,26,6,1,1316,26.4,58.6,76788,4.4,5.2,33.85,10.42,1,11954,124560.68
H00127,Apr,Summer,167,129,77.25,258,4,4,36239,6755,223,223,221,217,16,1,302,501,71,18,12,6,1,3336,33.6,42.2,38700,3.3,3.9,18.7,9.61,1,7063,67875.43
H00128,Sep,Monsoon,371,329,88.68,1316,15,8,88298,12981,1143,1143,1076,1087,11,27,1361,1484,68,8,4,6,0,0,32.9,91.5,286888,7.5,8.7,103.71,8.37,0,26443,221327.91
H00129,Jul,Monsoon,348,258,74.14,516,16,7,86304,17027,448,448,423,432,24,16,583,1392,52,7,15,6,0,0,27.2,70.1,86172,0.4,1.9,55.51,6.88,1,16925,116444.0
H00130,Aug,Monsoon,153,87,56.86,261,23,3,36108,5940,216,216,207,211,35,3,313,612,18,8,6,2,0,0,29.4,93.9,37584,0.2,2.7,28.74,8.75,1,8193,71688.75
H00131,Apr,Summer,80,68,85.0,204,21,6,18080,3661,169,169,161,166,29,2,224,400,34,3,23,2,0,0,32.8,38.1,30600,3.3,3.8,28.7,6.87,1,7569,51999.03
H00132,Mar,Summer,330,187,56.67,187,24,4,61050,10367,170,170,160,161,9,16,220,990,64,11,6,2,0,0,40.3,45.2,39270,8.8,11.6,47.4,7.37,0,12377,91218.49
H00133,Feb,Winter,275,164,59.64,328,9,6,56925,11742,314,314,312,308,8,32,393,1650,43,20,7,5,0,0,18.6,48.7,65600,0.0,0.3,70.91,8.22,1,16142,132687.24
H00134,Sep,Monsoon,268,226,84.33,226,25,6,56280,8021,212,212,205,206,10,35,297,804,29,6,24,3,0,0,27.6,92.2,27120,2.9,3.7,77.82,9.72,0,14974,145547.28
H00135,Apr,Summer,304,247,81.25,741,23,3,76000,13560,718,718,700,706,11,4,773,1520,48,12,19,6,1,672,33.4,45.6,122265,3.5,6.0,49.14,9.71,1,16259,157874.89
